書名,作者,譯者,出版社,出版日期,語言,價格,庫存量,ISBN,大分類,商品分類,商品網址
波段的紀律：我在海龜操盤手訓練、法人交易現場學到的進場、加碼、退場紀律，守住紀律獲利至少50％,雷老闆,,大是文化,2024/9/27,繁體中文,275,10,9786267448960,中文書,投資理財,https://www.books.com.tw/products/0011000702
賣瓜的人【文壇年度耀眼新星】,洪倪,,遠流,2026/4/29,繁體中文,237,10,9786264186421,中文書,華文創作,https://www.books.com.tw/products/0011050323
薰香花朵凛然綻放 (首刷限定版) 18,三香見SAKA,羅筱君,東立,2026/5/11,繁體中文,80,10,9786260274320,中文書,戀愛故事,https://www.books.com.tw/products/0011049728
GACHIAKUTA (首刷限定版) 17,裏那 圭／晏童秀吉,羅筱君,東立,2026/5/6,繁體中文,162,10,9786260271732,中文書,奇幻／魔法,https://www.books.com.tw/products/0011048678
安達與島村 SS (2) 首刷特裝版,"入間 人間, のん",蒼貓,台灣角川,2026/5/11,繁體中文,180,未標示,4711289630661,中文書,GL,https://www.books.com.tw/products/0011051175
會想的人，先有錢【限量獨有永豐金證券股票禮品卡「200元財富啟動金」】：《華爾街日報》最受歡迎財經作家的,喬納森．克雷蒙,吳凱琳,遠流,2026/4/29,繁體中文,322,未標示,4719025013518,中文書,投資理財,https://www.books.com.tw/products/0011050310
花開時節（全新修訂版）,楊双子,,春山出版,2025/12/2,繁體中文,363,未標示,9786267807088,中文書,華文創作,https://www.books.com.tw/products/0011037366
藥師少女的獨語 (首刷限定版) 16,日向夏 (原作)／ねこクラゲ (作畫)／七緒一綺 (構成)／しのとうこ (角色原案),Shion,東立,2026/4/30,繁體中文,189,10,9786260270704,中文書,懸疑推理,https://www.books.com.tw/products/0011049214
卸力，打造最強體能：一線運動員都在做的放鬆訓練法,中野崇,莊雅琇,天下生活,2025/2/5,繁體中文,199,10,9786267299739,中文書,運動健康,https://www.books.com.tw/products/0011012360
上伊那牡丹，醉姿如百合 (首刷附錄版) 2,塀,杜信彰,東立,2026/5/15,繁體中文,135,未標示,9786260273231,中文書,GL,https://www.books.com.tw/products/0011050434
指數致富：普通人也能複製的長期致富法則,周岐原,,天下文化,2026/2/6,繁體中文,348,10,9786264177528,中文書,投資理財,https://www.books.com.tw/products/0011044178
鷹式教養：不被AI取代的人生演算法,「鷹式一家」康海瑞（Hiram）,,方智,2026/5/1,繁體中文,246,10,9789861758886,中文書,生活教養,https://www.books.com.tw/products/0011050474
《荷止微甜》邊荷律影像紀實博客來獨家雙書衣限定版,邊荷律,,尖端,2026/5/20,繁體中文,631,未標示,4717702300913,中文書,偶像書,https://www.books.com.tw/products/0011051966
ONE PIECE航海王 (首刷限定版) 113,尾田榮一郎,,東立,2026/4/10,繁體中文,130,10,9786260268541,中文書,動作冒險,https://www.books.com.tw/products/0011047966
敬啟者，致往日盛開的花朵們 (1),五十嵐純,陳家恩,台灣角川,2026/5/7,繁體中文,105,可訂購,9786264455459,中文書,GL,https://www.books.com.tw/products/0011049073
平衡免疫，終結慢性發炎：功能醫學名醫帶你重新理解過敏、自體免疫與慢性發炎，校準健康防護力,劉博仁,,天下生活,2026/3/25,繁體中文,295,10,9786267792179,中文書,疾病百科,https://www.books.com.tw/products/0011047193
不反應的練習：讓所有煩惱都消失，世界最強、最古老的心理訓練入門,草薙龍瞬,劉滌昭,究竟,2024/6/1,繁體中文,252,10,9789861374482,中文書,生活哲學,https://www.books.com.tw/products/0010989947
我培育的S級們【3+4雙書特裝版】,根序,何羽涵,三采,2026/6/26,繁體中文,720,未標示,4711528701299,中文書,翻譯作品,https://www.books.com.tw/products/0011051244
長期買進：財金教授周冠男的42堂自制力投資課,周冠男,,天下文化,2024/7/31,繁體中文,297,10,9786263558434,中文書,投資理財,https://www.books.com.tw/products/0010996040
向光前行【限量作者親簽版】 迎向變局的勇氣：黃國昌對台灣未來的省思,黃國昌,,時報出版,2026/6/2,繁體中文,379,可訂購,4711441074937,中文書,政治,https://www.books.com.tw/products/0011053129
排球少年!!magazine (首刷限定版) II,古舘 春一,蔡夢芳/里歐貝萊/羅筱君,東立,2026/4/10,繁體中文,585,10,9786260269050,中文書,動漫周邊,https://www.books.com.tw/products/0011047606
反脆弱：脆弱的反義詞不是堅強，是反脆弱,納西姆．尼可拉斯．塔雷伯,羅耀宗,大塊文化,2013/7/1,繁體中文,350,10,9789862134467,中文書,經濟／趨勢,https://www.books.com.tw/products/0010590630
無限機器：Gemini推手哈薩比斯的超級智慧長征,塞巴斯蒂安．馬拉比,"廖月娟, 林俊宏, 黃瑜安",天下文化,2026/4/27,繁體中文,429,10,9786264179102,中文書,傳記,https://www.books.com.tw/products/0011049920
律師帶你看校園大小事2：老師必知的33個法律問題,Kitty Mao 毛律師,,商周出版,2026/6/6,繁體中文,379,未標示,9786264600132,中文書,法律,https://www.books.com.tw/products/0011052631
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,張美惠,三采,2022/1/26,繁體中文,246,10,9789576587399,中文書,心理諮商/治療,https://www.books.com.tw/products/0010914794
【限量套書】持續買進（暢銷慶功！博客來獨家附贈限量金句貼紙）＋財富階梯,尼克．馬朱利,李芳齡,商業周刊,2026/5/1,繁體中文,615,10,4717702280512,中文書,投資理財,https://www.books.com.tw/products/0011050452
Vibe Coding CLI 頂級開發：Claude Code 前瞻菁英育成手冊,胡嘉璽,,深智數位,2025/11/19,繁體中文,853,10,9786267757536,中文書,概論/科技趨勢,https://www.books.com.tw/products/0011037086
頂尖銷售的底層思維：破框思考、擴圈成交的超級業務力,范永銀（范大／Nathan）,,天下文化,2026/4/30,繁體中文,297,10,9786264178785,中文書,行銷/廣告/業務,https://www.books.com.tw/products/0011050255
大濛 電影紀念套書（附《阿迷與阿水》畫本）【陳玉勳導演親筆簽名版】,華文創股份有限公司,,新經典文化,2026/5/27,繁體中文,462,未標示,9786267748466,中文書,電影,https://www.books.com.tw/products/0011052874
原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,蔡世偉,方智,2019/6/1,繁體中文,203,10,9789861755267,中文書,成功法,https://www.books.com.tw/products/0010822522
全圖解核心逆齡節拍超慢跑+節拍超慢跑墊3.0-蔚藍海【超值組】：燃脂、降三高、預防肌少症，每天30分鐘三週立即見效,徐棟英,,晴好出版,2026/5/8,繁體中文,699,可訂購,8667106525046,中文書,運動/戶外活動,https://www.books.com.tw/products/0011051250
魔法抱抱【情緒管理】（理解並安撫孩子的壞情緒）,郭飛飛,,和平國際,2023/1/1,繁體中文,99,10,9789863714101,中文書,圖畫書,https://www.books.com.tw/products/0010945875
日花閃爍：台語的美麗詞彙&一百首詩,温若喬,,時報出版,2026/1/6,繁體中文,355,10,9786264199926,中文書,詩,https://www.books.com.tw/products/0011039851
最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,Hackers Academia,,國際學村,2024/7/24,繁體中文,1232,10,4713375690993,中文書,語言能力檢定測驗,https://www.books.com.tw/products/0010994781
原子習慣WORKBOOK【實踐本‧附練習別冊】,詹姆斯‧克利爾,蔡世偉,方智,2026/3/5,繁體中文,283,10,9789861758824,中文書,成功法,https://www.books.com.tw/products/0011045903
金剛經白話講座：放下的人生修行,王思迅,,如果出版社,2025/7/28,繁體中文,369,未標示,9786267752111,中文書,佛教,https://www.books.com.tw/products/0011027110
